编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
562,南钢,2017/4/2,06:32:16,外弧宽面Tv,稳态,0.761,-1.416,0.9,-11.61,22.09,65.943,565.379,328,0.619,1.72,,
563,南钢,2017/4/18,23:40:03,内弧宽面Tv,稳态,0.705,0.668,0.9,0.92,23.5,49.43,770.589,300,0.924,0.589,,
564,南钢,2017/4/18,23:40:12,内弧宽面Tv,稳态,0.282,1.504,0.9,-25.894,23.5,40.38,360.917,259,0.443,0.234,,
565,南钢,2017/4/18,23:40:46,内弧宽面Tv,误报,0.367,2.172,0.9,-5.544,23.5,90.506,1375.608,378,0.75,0.619,,
566,南钢,2017/4/29,07:12:15,外弧宽面Tv,稳态,0.226,2.124,0.7,-221.902,5.405,10.248,44.663,56,0.446,0.319,,
567,南钢,2017/4/29,07:12:29,外弧宽面Tv,稳态,0.705,1.23,0.7,-31.295,19.74,30.744,305.194,183,0.529,0.165,,
568,南钢,2017/4/29,07:12:46,外弧宽面Tv,误报,1.241,-1.677,0.7,-278.768,23.5,48.445,662.932,280,0.639,0.395,,
569,南钢,2017/5/11,04:02:33,内弧宽面Tv,稳态,0.028,0.414,0.6,0.194,3.055,17.237,39.291,49,0.345,0.888,,
570,南钢,2017/5/11,04:02:49,外弧宽面Tv,误报,0.62,2.999,0.6,-1.162,14.805,14.651,133.468,138,0.333,0.131,,
571,南钢,2017/5/12,19:07:46,外弧宽面Tv,误报,1.241,-2.411,0.7,-25.558,19.74,30.482,362.882,200,0.595,0.36,,
572,南钢,2017/5/12,19:07:56,右侧窄面Tv,稳态,0.085,0,0.7,0.401,3.29,10.833,24.675,39,0.342,3.124,,
573,南钢,2017/5/12,19:08:05,外弧宽面Tv,稳态,1.1,1.663,0.7,-7.558,20.445,49.879,777.208,252,0.728,0.438,,
574,南钢,2017/5/16,07:49:19,外弧宽面Tv,稳态,0.113,1.744,0.6,0.454,3.995,14.537,41.596,52,0.334,3.54,,
575,南钢,2017/5/16,07:49:22,外弧宽面Tv,误报,0.959,1.642,0.6,-42.411,17.86,19.667,223.455,160,0.378,0.127,,
576,南钢,2017/5/16,07:49:24,内弧宽面Tv,稳态,0.085,-2.155,0.6,-6.805,7.285,14.537,71.337,77,0.427,0.459,,
577,南钢,2017/5/16,07:49:46,外弧宽面Tv,稳态,0.705,0.616,0.6,0.952,16.685,27.363,234.708,168,0.56,0.205,,
578,南钢,2017/5/21,05:41:41,外弧宽面Tv,误报,0.62,-1.342,0.7,1.124,15.04,25.154,192.443,147,0.406,0.197,,
579,南钢,2017/5/21,05:41:41,内弧宽面Tv,稳态,0.705,1.901,0.7,-0.138,15.745,36.334,242.141,160,0.359,0.252,,
580,南钢,2017/5/29,02:00:47,外弧宽面Tv,误报,0.649,-3.019,0.7,-49.685,16.215,27.018,180.627,156,0.392,0.149,,
581,南钢,2017/5/29,02:00:56,外弧宽面Tv,稳态,0.282,3.018,0.7,-245.09,6.815,15.838,83.633,74,0.389,0.544,,
582,南钢,2017/5/29,02:01:22,外弧宽面Tv,稳态,0.395,-2.683,0.7,-25.219,17.625,25.154,273.229,171,0.44,0.183,,
583,南钢,2017/5/29,03:23:39,外弧宽面Tv,稳态,0.113,0.112,0.7,0.119,4.935,10.248,41.816,52,0.405,0.395,,
584,南钢,2017/5/29,03:24:08,内弧宽面Tv,误报,1.1,-0.671,0.7,2.46,19.035,23.291,280.673,175,0.439,0.136,,
585,南钢,2017/5/29,03:24:13,外弧宽面Tv,稳态,0.987,3.242,0.7,1.59,18.565,20.496,296.217,171,0.454,0.079,,
586,南钢,2017/5/29,03:47:33,外弧宽面Tv,稳态,0.085,0.783,0.7,-0.014,4.23,10.248,36.343,47,0.416,0.503,,
587,南钢,2017/5/29,03:47:37,内弧宽面Tv,稳态,0.479,-0.224,0.7,-574.892,10.105,8.385,74,91,0.321,0.097,,
588,南钢,2017/5/29,03:48:25,外弧宽面Tv,误报,0.254,1.118,0.31,1.148,7.99,15.837,73.559,83,0.365,0.415,,
589,南钢,2017/5/29,04:40:01,外弧宽面Tv,误报,1.043,2.348,0.7,-892.697,20.915,35.402,362.773,207,0.568,0.219,,
590,南钢,2017/5/29,04:40:25,外弧宽面Tv,稳态,0.169,-1.789,0.7,1.127,5.64,28.881,109.467,80,0.428,1.45,,
591,南钢,2017/5/29,04:58:37,外弧宽面Tv,稳态,0.197,0.335,0.7,0.583,6.58,15.838,76.408,72,0.488,0.519,,
592,南钢,2017/5/29,04:58:53,外弧宽面Tv,误报,0.818,1.23,0.7,-67.941,16.92,35.402,265.348,172,0.375,0.302,,
593,南钢,2017/6/11,04:50:48,外弧宽面Tv,稳态,0.141,-0.447,0.7,0.455,8.93,27.017,194.413,109,0.472,1.074,,
594,南钢,2017/6/11,04:51:15,外弧宽面Tv,误报,0.056,-0.112,0.7,0.472,23.5,48.445,861.943,255,0.722,0.184,,
595,南钢,2017/6/11,04:51:28,外弧宽面Tv,稳态,0.141,-0.447,0.7,0.18,23.5,54.035,787.943,271,0.447,0.352,,
596,南钢,2017/6/11,11:19:49,外弧宽面Tv,误报,0.169,-0.224,0.7,0.18,19.74,111.796,898.942,375,0.571,2.239,,
597,南钢,2017/6/11,11:19:56,外弧宽面Tv,稳态,0.367,-3.242,0.7,0.527,21.855,74.531,1281.201,300,0.645,0.863,,
598,南钢,2017/6/11,11:20:14,外弧宽面Tv,稳态,0.141,3.018,0.7,-1.831,5.17,22.359,80.349,69,0.411,2.051,,
599,南钢,2017/6/24,01:35:04,外弧宽面Tv,漏钢,0.395,1.226,0.75,0.64,21.855,53.874,573.868,243,0.637,0.613,,
600,南钢,2017/6/24,01:35:25,外弧宽面Tv,稳态,0.028,0.334,0.75,0.187,1.645,19.506,21.174,42,0.337,0.285,,
601,南钢,2017/6/26,13:34:45,外弧宽面Tv,稳态,0.395,0.223,0.75,1.556,9.87,20.435,164.149,106,0.369,0.403,,
602,南钢,2017/6/26,13:35:00,外弧宽面Tv,误报,0.31,-0.111,0.75,0.392,20.68,26.937,414.521,188,0.452,0.189,,
603,南钢,2017/6/26,13:35:10,外弧宽面Tv,稳态,0.226,0.334,0.75,0.047,23.5,48.301,635.424,247,0.484,0.244,,
604,南钢,2017/6/27,23:12:48,外弧宽面Tv,漏钢,0.902,-1.241,0.8,1.285,23.5,68.082,907.911,287,0.765,0.5,,
605,南钢,2017/7/1,18:04:13,内弧宽面Tv,误报,0.564,1.915,0.9,-36.804,16.45,32.616,273,171,0.428,0.229,,
606,南钢,2017/7/1,18:04:19,内弧宽面Tv,稳态,0.705,0.083,0.9,1.102,17.625,20.126,301.227,171,0.485,0.061,,
607,南钢,2017/7/1,18:04:28,内弧宽面Tv,稳态,0.677,0,0.9,-0.03,23.5,20.82,305.141,247,0.429,0.147,,
608,南钢,2017/7/4,19:41:53,内弧宽面Tv,稳态,0.254,0,0.85,0.787,7.05,19.494,102.909,90,0.488,4.13,,
609,南钢,2017/7/4,19:41:58,内弧宽面Tv,误报,0.959,0,0.85,1.117,23.5,23.671,461.535,234,0.739,0.12,,
610,南钢,2017/7/7,14:01:24,外弧宽面Tv,误报,0.395,-0.168,0.85,0.528,20.68,32.819,452.403,214,0.743,0.25,,
611,南钢,2017/7/7,14:01:30,外弧宽面Tv,稳态,1.241,-2.43,0.85,-2.098,23.5,154.317,2721.313,656,0.647,0.307,,
612,南钢,2017/7/7,14:01:38,内弧宽面Tv,稳态,0.931,-0.084,0.85,1.788,19.27,18.853,319.817,192,0.514,0.155,,
613,南钢,2017/7/8,14:54:35,外弧宽面Tv,稳态,0.056,1.749,0.85,0.859,7.05,59.698,224.466,210,0.468,0.274,,
614,南钢,2017/7/8,14:54:42,外弧宽面Tv,误报,0.451,1.416,0.85,0.51,19.975,68.028,577.151,299,0.512,0.739,,
615,南钢,2017/7/8,14:54:56,内弧宽面Tv,稳态,0.085,0.25,0.85,0.733,3.76,18.742,52.038,65,0.475,0.727,,
616,南钢,2017/7/8,14:55:10,内弧宽面Tv,稳态,0.677,1.499,0.85,0.356,23.5,69.413,771.89,380,0.539,1.072,,
617,南钢,2017/7/9,07:42:53,内弧宽面Tv,误报,0.423,1.749,0.85,-72.107,11.75,20.13,138.001,128,0.417,0.511,,
618,南钢,2017/7/9,13:28:44,内弧宽面Tv,稳态,0.226,-1.416,0.9,2.041,7.99,48.589,261.973,174,0.525,0.318,,
619,南钢,2017/7/9,13:28:49,内弧宽面Tv,误报,0.733,0.083,0.9,1.098,21.62,63.86,925.714,374,0.64,2.264,,
620,南钢,2017/7/9,13:28:57,内弧宽面Tv,稳态,0.197,0.583,0.11,0.153,23.5,63.857,1350.254,328,0.83,0.684,,
621,南钢,2017/7/9,16:44:08,内弧宽面Tv,误报,0.846,-0.666,0.9,1.421,20.21,33.318,499.641,214,0.643,0.332,,
622,南钢,2017/7/11,04:22:02,内弧宽面Tv,稳态,0.254,1.499,0.8,-108.148,5.64,18.742,90.21,84,0.352,1.46,,
623,南钢,2017/7/11,04:22:03,内弧宽面Tv,误报,1.297,-0.25,0.8,-1.629,23.5,37.483,386.761,249,0.386,0.128,,
624,南钢,2017/7/11,04:22:29,内弧宽面Tv,稳态,0.451,0.5,0.8,0.538,23.5,51.366,1015.757,310,0.804,1.135,,
625,南钢,2017/7/12,11:42:03,内弧宽面Tv,稳态,0.028,0.5,0.7,-0.43,1.88,13.189,17.454,38,0.339,0.446,,
626,南钢,2017/7/12,11:42:11,内弧宽面Tv,误报,0.874,-1.416,0.7,0.854,21.855,76.355,809.082,344,0.829,0.902,,
627,南钢,2017/7/12,11:42:14,外弧宽面Tv,稳态,1.41,-2.082,0.7,-202.809,23.5,32.624,525.577,268,0.458,0.332,,
628,南钢,2017/7/12,16:32:23,外弧宽面Tv,稳态,0.113,1.083,0.85,0.88,3.055,13.88,29.682,47,0.358,0.938,,
629,南钢,2017/7/12,16:32:25,内弧宽面Tv,误报,0.226,-0.916,0.85,-250.412,6.815,38.17,153.631,129,0.453,0.542,,
630,南钢,2017/8/5,22:18:00,内弧宽面Tv,稳态,0.056,-0.833,0.9,0.791,5.64,36.789,114.022,115,0.407,0.534,,
631,南钢,2017/8/5,22:18:08,内弧宽面Tv,稳态,0.902,0.916,0.9,1.056,23.5,51.366,815.444,291,0.725,0.692,,
632,南钢,2017/8/5,22:18:30,外弧宽面Tv,漏钢,0.818,1.083,0.8,1.169,20.21,38.177,332.278,222,0.593,0.232,,
633,南钢,2017/8/5,22:18:44,内弧宽面Tv,稳态,0.085,-1.833,0.8,1.093,6.11,84.684,383.824,254,0.693,0.132,,
634,南钢,2018/1/11,06:47:12,内弧宽面Tv,稳态,0.056,0.83,0.7,0.598,5.17,25.931,100.141,79,0.4,1.128,,
635,南钢,2018/1/11,06:47:22,内弧宽面Tv,漏钢,1.128,1.971,0.7,1.462,19.74,40.625,387.768,204,0.488,0.346,,
636,南钢,2018/1/20,15:55:16,外弧宽面Tv,稳态,0.226,1.253,0.44,1.419,5.17,22.975,82.949,81,0.452,0.904,,
637,南钢,2018/1/20,15:55:21,外弧宽面Tv,误报,1.269,0.501,0.48,1.035,23.5,48.734,807.728,301,0.714,1.025,,
638,南钢,2018/1/20,15:55:32,外弧宽面Tv,稳态,1.043,-0.585,0.57,0.388,21.15,32.025,378.914,208,0.623,0.196,,
639,南钢,2018/1/20,15:55:44,内弧宽面Tv,稳态,0.451,-2.256,0.67,-17.684,13.865,82.848,473.315,303,0.486,0.511,,
640,南钢,2018/1/30,10:34:50,内弧宽面Tv,稳态,0.282,-0.084,0.65,1.388,8.93,25.138,166.39,115,0.573,3.922,,
641,南钢,2018/1/30,10:35:00,内弧宽面Tv,误报,0.028,0.838,0.7,0.344,14.57,43.293,413.185,187,0.52,2.903,,
642,南钢,2018/2/3,22:53:45,外弧宽面Tv,误报,0.028,0.312,0.7,0.32,2.82,23.407,53.988,62,0.358,0.359,,
643,南钢,2018/2/3,22:53:59,外弧宽面Tv,稳态,0.028,1.977,0.7,-317.288,2.115,13.871,20.169,35,0.374,0.631,,
644,南钢,2018/3/12,02:44:41,内弧宽面Tv,稳态,0.085,0,0.7,0.042,23.5,49.368,705.651,279,0.613,0.431,,
645,南钢,2018/3/12,02:45:26,外弧宽面Tv,漏钢,1.072,2.598,0.7,0.212,23.5,42.441,497.862,234,0.475,0.231,,
646,南钢,2018/3/14,11:16:36,外弧宽面Tv,稳态,0.62,0.086,0.65,1.821,12.22,8.597,90.238,117,0.371,0.108,,
647,南钢,2018/3/14,11:17:27,外弧宽面Tv,稳态,0.113,-0.344,0.1,0.614,5.405,21.492,85.187,80,0.442,1.225,,
648,南钢,2018/3/14,11:17:27,内弧宽面Tv,漏钢,0.31,0.516,0.1,0.02,23.5,67.342,1255.079,301,0.756,2.051,,
649,南钢,2018/3/17,11:04:37,内弧宽面Tv,漏钢,0.31,0,0.6,0.52,8.46,22.36,140.123,96,0.526,0.742,,
650,南钢,2018/3/20,23:56:33,外弧宽面Tv,稳态,0.169,0,0.27,1.977,4.935,25.785,86.963,85,0.485,0.684,,
651,南钢,2018/3/20,23:56:43,外弧宽面Tv,误报,0.479,-0.418,0.35,2.046,11.985,18.12,111.698,122,0.358,0.322,,
652,南钢,2018/3/20,23:56:46,内弧宽面Tv,稳态,0.395,0.753,0.37,1.988,10.81,37.634,254.022,147,0.483,2.927,,
653,南钢,2018/3/20,23:57:18,外弧宽面Tv,稳态,0.028,-0.585,0.4,-0.084,23.5,209.08,2663.38,887,0.533,0.451,,
654,南钢,2018/3/28,19:16:33,外弧宽面Tv,误报,1.128,-1.416,0,1.649,23.5,89.543,1682.923,493,1.737,2.922,,
655,南钢,2018/4/9,19:38:23,右侧窄面Tv,漏钢,0.874,-0.078,0.8,0.861,22.56,24.7,465.429,225,1.475,0.107,,
656,南钢,2018/4/9,19:51:22,外弧宽面Tv,稳态,0.141,-1.751,0.8,-118.103,8.225,11.812,82.786,88,0.765,0.33,,
657,南钢,2018/4/9,19:51:44,右侧窄面Tv,漏钢,0.874,0.078,0.8,0.769,22.795,24.05,468.332,227,1.557,0.119,,
658,南钢,2018/4/9,20:04:42,右侧窄面Tv,漏钢,0.62,0.156,0.7,0.297,19.035,18.85,270.673,180,0.556,0.146,,
659,南钢,2018/4/9,20:10:58,右侧窄面Tv,漏钢,0.592,-0.078,0.7,0.28,21.62,22.1,373.321,205,0.946,0.201,,
660,南钢,2018/4/9,20:13:33,内弧宽面Tv,稳态,0.028,0,0.55,-434.954,4.23,6.948,22.86,46,0.328,0.404,,
661,南钢,2018/4/9,20:14:26,右侧窄面Tv,漏钢,0.874,-0.468,0.55,0.624,21.855,23.4,332.079,213,0.808,0.229,,
662,南钢,2018/11/9,20:37:28,内弧宽面Tv,稳态,0.367,-0.313,0.7,0.809,12.455,31.273,232.725,141,0.476,0.806,,
663,南钢,2018/11/9,20:37:48,内弧宽面Tv,漏钢,0.197,-2.293,0.7,1.614,8.93,65.15,363.567,219,0.442,0.421,,
664,南钢,2018/11/10,06:46:27,外弧宽面Tv,稳态,0.113,1.564,0.75,-47.891,16.92,19.979,242.31,159,0.419,0.113,,
665,南钢,2018/11/10,06:46:38,外弧宽面Tv,稳态,1.184,1.564,0.75,-0.028,23.5,25.191,464.003,236,0.533,0.066,,
666,南钢,2018/11/10,06:47:20,外弧宽面Tv,误报,0.451,-0.208,0.75,0.543,23.5,31.272,524.835,241,0.926,0.144,,
667,南钢,2018/11/20,17:10:50,内弧宽面Tv,误报,1.241,1.008,0.9,-2336.213,21.15,28.686,426.181,213,0.566,0.113,,
668,南钢,2018/11/20,17:10:53,外弧宽面Tv,稳态,0.338,1.763,0.9,-110.214,8.225,14.693,89.117,91,0.409,0.55,,
669,南钢,2018/11/20,17:11:20,内弧宽面Tv,稳态,0.282,2.099,0.9,-55.811,6.58,32.884,165.079,118,0.488,0.617,,
670,南钢,2018/11/22,01:37:15,外弧宽面Tv,误报,0.395,0.504,0.22,0.76,23.5,59.472,810.928,336,0.405,1.195,,
671,南钢,2018/11/22,01:37:30,外弧宽面Tv,稳态,0.056,-1.511,0.35,-1785.336,2.115,20.29,31.898,58,0.367,0.262,,
672,南钢,2018/11/22,01:37:40,内弧宽面Tv,稳态,0.338,-0.42,0.4,2.388,7.05,22.39,124.473,98,0.67,4.57,,
673,南钢,2018/11/23,02:50:32,内弧宽面Tv,稳态,0.085,1.007,0,-0.779,23.5,31.483,392.291,246,0.46,0.135,,
674,南钢,2018/11/23,02:50:39,外弧宽面Tv,稳态,0.113,1.679,0,-131.002,5.17,25.187,75.63,80,0.399,0.925,,
675,南钢,2018/11/23,02:51:04,外弧宽面Tv,误报,0.085,-1.175,0.2,-54.152,5.64,75.564,307.14,232,0.443,0.09,,
676,南钢,2018/11/24,00:03:02,内弧宽面Tv,稳态,0.141,2.267,0.95,-236.111,4.465,12.594,41.928,57,0.432,1.894,,
677,南钢,2018/11/24,00:03:27,外弧宽面Tv,误报,0.564,1.679,0.95,1.123,19.035,51.775,423.55,249,0.45,1.716,,
678,南钢,2018/11/24,00:03:32,内弧宽面Tv,稳态,0.141,-2.099,0.95,-270.66,7.99,21.69,127.262,102,0.597,2.333,,
679,南钢,2018/11/24,08:10:22,内弧宽面Tv,稳态,0.254,0.252,0,0.384,23.5,87.458,1750.762,399,1.687,0.726,,
680,南钢,2018/11/24,08:10:48,外弧宽面Tv,误报,0.338,-1.847,0,-113.179,8.46,29.386,189.907,122,0.769,2.237,,
681,南钢,2018/11/24,08:10:48,内弧宽面Tv,稳态,0.423,-2.183,0,-12.988,9.165,43.379,319.471,163,1.012,0.698,,
682,南钢,2018/11/26,23:40:42,内弧宽面Tv,稳态,0.197,-0.252,0.9,-397.497,5.17,13.294,50.806,63,0.383,1.87,,
683,南钢,2018/11/26,23:41:06,内弧宽面Tv,漏钢,0.169,-0.252,0.9,0.355,23.5,55.973,979.295,303,0.769,0.834,,
684,南钢,2019/3/30,18:46:49,外弧宽面Tv,稳态,0.085,2.916,0.1,0.398,11.985,260.34,2706.599,679,1.666,0.064,,
685,南钢,2019/3/30,18:47:06,内弧宽面Tv,误报,0.649,1.77,0.2,0.882,23.5,52.068,615.266,299,0.411,0.713,,
686,南钢,2019/4/14,14:30:05,内弧宽面Tv,稳态,0.085,-1.107,0.6,-32.957,16.92,17.836,260.737,170,0.456,0.127,,
687,南钢,2019/4/14,14:30:07,外弧宽面Tv,误报,0.592,1.107,0.62,-34.393,20.915,28.907,266.952,227,0.58,0.378,,
688,南钢,2019/4/14,14:30:35,外弧宽面Tv,稳态,0.197,0.148,0.65,0.196,6.345,23.37,112.874,101,0.704,0.984,,
689,南钢,2019/4/14,14:30:58,内弧宽面Tv,误报,0.846,-1.328,0.67,-2.817,23.5,141.45,2089.542,764,0.536,0.474,,
690,南钢,2019/4/14,14:31:08,右侧窄面Tv,稳态,0.846,-0.624,0.7,0.999,21.385,19.5,206.06,204,0.567,0.163,,
691,南钢,2019/4/14,14:32:18,内弧宽面Tv,稳态,0.056,0,0.7,0.046,7.52,11.685,49.572,80,0.58,0.53,,
692,南钢,2019/4/14,14:32:25,外弧宽面Tv,稳态,0.451,-0.074,0.7,0.874,14.805,32.595,405.971,193,0.834,0.725,,
693,南钢,2019/4/14,14:33:00,内弧宽面Tv,误报,0.056,0,0.7,-0.051,23.5,71.34,1018.323,438,0.701,2.214,,
694,南钢,2019/4/14,14:33:18,外弧宽面Tv,误报,0.79,0.664,0.7,0.177,17.39,50.43,489.506,296,0.693,1.504,,
695,南钢,2019/4/14,14:33:24,外弧宽面Tv,稳态,0.931,0.812,0.7,0.961,20.68,59.04,580.268,273,0.798,0.409,,
696,南钢,2019/4/14,14:33:59,内弧宽面Tv,稳态,0.254,-0.959,0.7,1.618,10.575,167.895,909.496,557,0.719,0.161,,
697,南钢,2019/4/14,14:34:24,外弧宽面Tv,误报,0.931,1.919,0.7,0.717,23.5,72.57,777.834,435,0.859,1.097,,
698,南钢,2019/4/14,14:34:28,内弧宽面Tv,稳态,0.169,-1.845,0.7,-47.088,5.405,31.98,130.795,118,0.523,0.363,,
699,南钢,2019/4/14,14:34:38,外弧宽面Tv,稳态,0.423,1.107,0.7,-1.748,23.5,19.065,230.373,243,0.563,0.158,,
700,南钢,2019/4/14,14:36:41,外弧宽面Tv,稳态,0.085,-0.369,0.1,-19.798,23.5,47.355,464.937,264,0.72,0.224,,
701,南钢,2019/4/14,14:37:18,外弧宽面Tv,稳态,0.451,0.738,0.4,-0.866,23.5,47.97,427.649,286,0.653,0.2,,
702,南钢,2019/4/14,14:37:24,内弧宽面Tv,误报,0.564,-0.59,0.4,0.66,17.39,27.675,277.633,180,0.614,0.273,,
703,南钢,2019/4/14,14:40:27,内弧宽面Tv,稳态,0.085,1.476,0.7,-9.087,8.46,79.335,477.222,272,0.605,0.221,,
704,南钢,2019/4/14,14:40:37,外弧宽面Tv,稳态,1.551,-2.14,0.7,-33.062,23.5,22.755,333.564,237,0.543,0.283,,
705,南钢,2019/4/14,14:41:13,内弧宽面Tv,误报,0.987,2.14,0.7,-7.47,23.5,80.565,946.783,367,0.763,0.298,,
706,南钢,2019/4/14,14:41:16,外弧宽面Tv,稳态,0.931,0.517,0.7,1.153,22.325,51.66,745.604,301,1.275,0.952,,
707,南钢,2019/4/14,14:41:24,外弧宽面Tv,稳态,0.085,-0.221,0.7,0.421,17.39,86.1,1030.608,378,1.047,0.454,,
708,南钢,2019/4/14,14:41:58,内弧宽面Tv,误报,0.508,0.886,0.7,1.406,18.8,113.16,1008.351,467,0.818,0.738,,
709,南钢,2019/5/1,16:38:22,内弧宽面Tv,误报,1.241,0.25,1,-0.095,23.5,38.177,562.116,243,0.53,0.145,,
710,南钢,2019/5/1,16:38:29,外弧宽面Tv,稳态,0.254,-0.083,1,1.9,5.875,20.824,95.1,86,0.419,1.258,,
711,南钢,2019/5/1,16:38:35,内弧宽面Tv,稳态,0.056,1.583,1,-0.066,1.88,19.436,26.263,55,0.335,0.238,,
712,南钢,2019/5/2,09:56:06,内弧宽面Tv,稳态,0.649,-1.086,0.4,1.568,23.5,53.607,515.362,299,0.54,0.835,,
713,南钢,2019/5/2,09:56:17,内弧宽面Tv,稳态,0.282,1.337,0.4,0.465,23.5,208.86,2066.684,844,0.96,0.42,,
714,南钢,2019/5/2,09:56:26,外弧宽面Tv,误报,0.282,-1.17,0.4,1.005,15.51,120.443,925.361,444,0.822,0.352,,
715,南钢,2019/5/4,19:56:27,外弧宽面Tv,稳态,0.028,-1.758,0,0.561,23.5,121.514,2205.678,433,1.749,1.035,,
716,南钢,2019/5/4,19:56:34,内弧宽面Tv,误报,0.028,-0.517,0,0.116,23.5,122.376,2306.737,440,1.508,0.858,,
717,南钢,2019/5/4,19:56:45,内弧宽面Tv,稳态,0.141,0.517,0,-0.22,23.5,74.977,1313.564,419,1.566,2.413,,
718,南钢,2019/5/5,00:15:39,外弧宽面Tv,稳态,0.367,-1.765,0.8,-3.179,14.805,60.569,391.832,219,0.363,1.539,,
719,南钢,2019/5/5,00:16:16,内弧宽面Tv,误报,0.62,-2.077,0.8,2.166,18.33,65.758,598.603,318,0.428,2.525,,
720,南钢,2019/5/6,06:17:28,内弧宽面Tv,稳态,0.028,-0.827,0.04,0.323,12.455,258.54,2749.452,669,1.72,0.063,,
721,南钢,2019/5/6,06:17:50,内弧宽面Tv,误报,0.338,2.999,0.2,-0.558,23.5,70.668,819.003,306,0.489,1.295,,
722,南钢,2019/5/6,06:17:58,外弧宽面Tv,稳态,1.946,0.931,0.2,-1.282,23.5,256.816,3047.161,773,0.688,0.332,,
723,南钢,2019/9/27,22:41:02,内弧宽面Tv,稳态,0.056,0.113,0,-1.666,19.27,20.746,308.253,170,0.442,0.118,,
724,南钢,2019/9/27,22:41:26,内弧宽面Tv,误报,0.113,-0.453,0.2,0.101,19.27,282.9,2950.006,777,0.868,0.368,,
725,南钢,2019/9/27,22:41:26,外弧宽面Tv,稳态,0.141,0.339,0.2,0.144,18.8,282.9,2990.338,714,0.944,0.177,,
726,南钢,2019/9/29,01:33:49,外弧宽面Tv,稳态,0.113,-1.358,0,-0.948,22.09,27.347,525.425,212,0.528,0.067,,
727,南钢,2019/9/29,01:34:06,外弧宽面Tv,稳态,0.028,0.226,0.19,0.346,11.045,265.926,1892.728,607,0.806,0.107,,
728,南钢,2019/9/29,01:34:06,内弧宽面Tv,误报,0.254,2.603,0.19,1.915,8.46,112.217,614.732,279,0.734,0.213,,
729,南钢,2019/9/29,01:34:16,内弧宽面Tv,稳态,0.028,-0.905,0.2,-1.969,14.57,72.611,563.098,239,0.57,1.05,,
730,南钢,2019/9/29,03:33:54,外弧宽面Tv,稳态,0.902,-2.15,0.75,0.588,19.505,39.607,322.668,197,0.389,0.186,,
731,南钢,2019/9/29,03:33:59,内弧宽面Tv,稳态,0.902,-2.942,0.75,0.449,18.095,20.747,293.194,165,0.422,0.134,,
732,南钢,2019/9/29,03:34:21,外弧宽面Tv,误报,0.056,-0.339,0.75,-0.078,2.115,12.259,16.843,30,0.333,4.685,,
733,南钢,2019/9/29,16:57:48,外弧宽面Tv,稳态,0.056,-0.905,0.75,0.06,7.05,22.633,111.693,85,0.361,1.155,,
734,南钢,2019/9/29,16:57:52,内弧宽面Tv,稳态,0.028,0.566,0.75,-408.217,1.88,16.975,24.377,38,0.34,0.412,,
735,南钢,2019/9/29,16:58:38,外弧宽面Tv,误报,0.761,1.924,0.75,-33.777,15.98,43.38,372.088,164,0.379,0.222,,
736,南钢,2019/9/30,02:27:26,内弧宽面Tv,稳态,0.056,0.226,0.7,-0.989,2.82,7.544,15.291,29,0.321,4.912,,
737,南钢,2019/9/30,02:27:35,外弧宽面Tv,稳态,1.438,-1.584,0.7,-16.958,23.5,33.006,527.66,233,0.545,0.255,,
738,南钢,2019/9/30,02:28:06,外弧宽面Tv,误报,0.226,-0.679,0.7,0.322,16.92,30.177,230.256,169,0.441,0.28,,
739,南钢,2019/9/30,10:01:47,内弧宽面Tv,稳态,0.959,2.829,0.75,-338.401,17.39,33.006,352.808,170,0.477,0.112,,
740,南钢,2019/9/30,10:02:06,内弧宽面Tv,稳态,0.536,-2.603,0.75,1.513,17.155,63.183,356.353,244,0.417,1.209,,
741,南钢,2019/9/30,10:02:14,外弧宽面Tv,误报,0.564,-1.132,0.75,1.205,14.57,33.949,280.34,157,0.397,0.45,,
742,南钢,2019/10/5,19:22:55,外弧宽面Tv,稳态,0.056,-2.32,0,0.802,5.405,65.908,244.921,158,0.53,0.23,,
743,南钢,2019/10/5,19:23:00,内弧宽面Tv,误报,0.028,-0.844,0.09,0.075,8.225,253.964,1485.841,613,0.712,0.104,,
744,南钢,2019/10/5,19:23:20,外弧宽面Tv,稳态,0.451,-1.793,0.2,1.042,23.5,149.39,1832.365,494,0.414,0.488,,
745,南钢,2019/10/8,19:57:59,外弧宽面Tv,稳态,1.043,0.453,0.75,1.241,23.5,32.063,319.122,233,0.399,0.094,,
746,南钢,2019/10/8,19:58:04,内弧宽面Tv,稳态,0.197,0.226,0.75,-802.643,4.7,16.032,53.63,56,0.366,1.746,,
747,南钢,2019/10/8,19:58:35,外弧宽面Tv,误报,0.113,1.811,0.75,0.361,12.455,42.437,272.362,152,0.415,1.413,,
748,南钢,2019/10/10,20:38:22,内弧宽面Tv,稳态,0.056,2.085,0.75,-977.022,2.82,16.505,35.724,47,0.372,0.719,,
749,南钢,2019/10/10,20:38:35,外弧宽面Tv,稳态,0.197,2.502,0.7,-290.834,6.11,15.636,68.386,69,0.442,0.77,,
750,南钢,2019/10/10,20:38:44,外弧宽面Tv,误报,0.056,0,0.65,0.685,1.645,10.424,12.86,26,0.356,4.267,,
