编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
81,南钢,2015/8/22,03:17:02,内弧宽面Tv,稳态,0.085,1.427,0.7,-0.346,6.58,19.586,104.383,91,0.474,1.896,,
82,南钢,2015/8/22,03:17:07,内弧宽面Tv,漏钢,1.072,1.427,0.7,1.262,22.795,46.165,472.906,261,0.531,0.359,,
83,南钢,2016/1/13,19:11:05,外弧宽面Tv,稳态,0.028,-0.517,0.6,-1.887,1.645,7.756,9.721,23,0.321,13.652,,
84,南钢,2016/1/13,19:11:10,内弧宽面Tv,误报,0.028,-0.517,0.6,0.309,12.69,12.066,136.303,120,0.348,0.099,,
85,南钢,2016/1/13,19:11:19,外弧宽面Tv,稳态,0.282,-1.138,0.6,-27.207,7.755,23.269,117.058,93,0.402,0.985,,
86,南钢,2016/1/13,19:11:33,外弧宽面Tv,稳态,0.113,1.241,0.6,0.934,4.23,50.848,129.012,127,0.338,0.211,,
87,南钢,2016/1/13,19:11:39,外弧宽面Tv,稳态,0.141,-2.999,0.6,-607.818,4.23,12.928,41.924,50,0.377,1.91,,
88,南钢,2016/1/28,15:23:55,外弧宽面Tv,稳态,0.141,-0.416,0.38,0.365,11.045,17.353,157.738,119,0.463,0.503,,
89,南钢,2016/1/28,15:23:55,内弧宽面Tv,稳态,0.056,0.75,0.38,-0.092,3.525,36.789,93.795,108,0.394,0.231,,
90,南钢,2016/1/28,15:24:05,内弧宽面Tv,稳态,0.874,0.75,0.4,1.054,23.5,45.119,498.336,316,0.453,0.515,,
91,南钢,2016/1/28,15:24:07,外弧宽面Tv,稳态,0.141,-1.249,0.4,-5.779,11.75,8.33,65.412,109,0.432,0.17,,
92,南钢,2016/1/28,15:24:12,内弧宽面Tv,稳态,0.564,-0.916,0.4,0.834,15.98,24.989,351.363,177,0.558,0.342,,
93,南钢,2016/1/28,15:24:18,外弧宽面Tv,稳态,0.056,-0.167,0.4,0.166,7.52,117.309,615.294,382,0.667,0.106,,
94,南钢,2016/1/28,15:24:18,内弧宽面Tv,误报,0.113,-1.499,0.4,1.051,14.805,102.038,652.159,383,0.441,0.342,,
95,南钢,2016/1/28,15:24:28,内弧宽面Tv,稳态,0.367,-0.25,0.4,0.188,21.62,39.566,627.365,231,0.522,0.607,,
96,南钢,2016/1/28,15:24:28,外弧宽面Tv,稳态,0.028,-1.416,0.4,-2.413,19.975,148.545,1742.462,629,0.625,0.449,,
97,南钢,2016/1/28,15:24:38,外弧宽面Tv,稳态,0.31,1.249,0.4,1.151,12.22,25.683,272.739,151,0.435,0.434,,
98,南钢,2016/1/28,15:24:46,内弧宽面Tv,稳态,0.028,-0.25,0.4,-1.154,6.815,23.601,114.511,96,0.364,2.885,,
99,南钢,2016/1/29,11:04:43,内弧宽面Tv,稳态,0.169,-0.273,0.85,0.821,4.465,16.713,52.309,61,0.375,3.167,,
100,南钢,2016/1/29,11:05:10,内弧宽面Tv,稳态,0.113,0.091,0.85,-900.805,3.76,11.396,30.171,46,0.342,3.374,,
101,南钢,2016/1/29,11:05:17,外弧宽面Tv,误报,0.226,0.82,0.85,1.533,5.64,21.272,85.694,78,0.359,1.578,,
102,南钢,2016/1/29,15:05:05,内弧宽面Tv,稳态,0.141,-0.547,0.85,-0.359,16.215,10.636,151.393,148,0.393,0.08,,
103,南钢,2016/1/29,15:05:15,内弧宽面Tv,误报,0.367,0.729,0.85,0.188,23.5,35.706,471.675,256,0.545,0.209,,
104,南钢,2016/1/29,15:05:38,内弧宽面Tv,稳态,0.254,0.365,0.85,0.195,23.5,60.776,824.449,314,0.783,0.437,,
105,南钢,2016/1/29,15:05:42,内弧宽面Tv,稳态,0.028,0.273,0.55,-0.11,23.5,50.14,753.573,286,0.843,0.268,,
106,南钢,2016/2/1,22:30:50,内弧宽面Tv,误报,0.113,-2.323,0.06,-121.939,6.58,30.301,151.514,98,0.582,1.219,,
107,南钢,2016/2/1,22:30:51,内弧宽面Tv,稳态,0.282,-2.121,0.11,-120.063,7.755,31.143,186.129,108,0.605,2.11,,
108,南钢,2016/2/2,03:16:30,外弧宽面Tv,稳态,0.169,0.202,0.6,-825.125,5.405,16.834,55.582,63,0.35,1.461,,
109,南钢,2016/2/2,03:16:50,内弧宽面Tv,稳态,0.028,-0.202,0.6,0.673,3.995,26.093,76.351,72,0.442,0.558,,
110,南钢,2016/2/2,03:16:57,内弧宽面Tv,误报,0.028,0.202,0.6,0.284,4.935,47.135,135.493,125,0.442,0.255,,
111,南钢,2016/2/2,03:17:01,内弧宽面Tv,稳态,0.028,-1.111,0.6,-0.496,4.7,28.618,93.164,81,0.466,0.711,,
112,南钢,2016/2/2,06:32:48,内弧宽面Tv,稳态,1.466,-0.101,0.6,-421.729,23.5,21.043,325.578,230,0.448,0.111,,
113,南钢,2016/2/2,06:33:02,内弧宽面Tv,稳态,0.254,1.919,0.6,-21.815,23.5,41.245,425.681,236,0.778,0.161,,
114,南钢,2016/2/2,06:33:06,外弧宽面Tv,稳态,0.085,-0.303,0.6,0.356,3.055,13.468,28.484,42,0.336,2.357,,
115,南钢,2016/2/2,06:33:12,外弧宽面Tv,稳态,1.551,2.828,0.6,1.61,23.5,49.66,368.5,244,0.449,0.165,,
116,南钢,2016/2/2,06:33:17,外弧宽面Tv,稳态,1.438,0.505,0.6,1.308,23.5,78.278,635.53,466,0.559,0.943,,
117,南钢,2016/2/2,06:33:25,外弧宽面Tv,误报,0.451,-0.404,0.1,0.789,12.925,31.143,156.855,143,0.358,0.363,,
118,南钢,2016/2/8,00:51:00,外弧宽面Tv,漏钢,0.169,1.07,1.25,0.183,18.33,70.211,567.929,388,0.641,0.977,,
